author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message,review_status
CLAUDIA ROBERTA DE ARAUJO GOMES,2.0,1.0,2.0,40661788500.0,,Universidade Federal Rural de Pernambuco,matched,82.0,"AUTHLAST(GOMES) AND AUTHFIRST(CLAUDIA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
TEREZINHA DE JESUS RANGEL CAMARA,833.0,15.0,49.0,6603185752.0,,Universidade Federal Rural de Pernambuco,matched,120.0,"AUTHLAST(CAMARA) AND AUTHFIRST(TEREZINHA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
RITA DE CASSIA SOARES CARDOSO,175.0,6.0,11.0,57197503667.0,,Universidade Federal Rural de Pernambuco,matched,97.0,"AUTHLAST(CARDOSO) AND AUTHFIRST(RITA) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
SILVIO ROMERO DE LEMOS MEIRA,2532.0,26.0,228.0,35606097100.0,,University of Kent,matched,43.0,"AUTHLAST(MEIRA) AND AUTHFIRST(SILVIO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
ALICE DE JESUS KOZAKEVICIUS,647.0,11.0,28.0,8422231000.0,,Universidade Federal de Santa Maria,matched,83.0,[last+first-no-affil] AUTHLAST(KOZAKEVICIUS) AND AUTHFIRST(ALICE),,rejected
EVERARDO VALADARES DE SA BARRETO SAMPAIO,5256.0,38.0,156.0,35617128600.0,,Universidade Federal Rural de Pernambuco,matched,122.0,"AUTHLAST(SAMPAIO) AND AUTHFIRST(EVERARDO) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,accepted
ETIENNE AMORIM ALBINO DA SILVA,773.0,18.0,42.0,16307654300.0,,Universidade Federal Rural de Pernambuco,matched,83.0,"AUTHLAST(SILVA) AND AUTHFIRST(ETIENNE) AND AFFIL(""Universidade Federal Rural de Pernambuco"")",,rejected
NEUZA MARIA DA SILVA,3210.0,30.0,152.0,7102995765.0,,Universidade Federal Rural de Pernambuco,matched,122.0,[last-only+afid] AUTHLAST(SILVA) AND AF-ID(60000958),,accepted
MARIA ANGELA DE FARIA GRILLO,129.0,4.0,24.0,7102305445.0,,Università degli Studi di Catania,matched,75.0,[last+first-no-affil] AUTHLAST(GRILLO) AND AUTHFIRST(MARIA),,rejected
ANGELA VALERIA ALVES DA SILVA,3210.0,30.0,152.0,7102995765.0,,Universidade Federal Rural de Pernambuco,matched,122.0,[last-only+afid] AUTHLAST(SILVA) AND AF-ID(60000958),,accepted
