author_name,citation_count,h_index,document_count,scopus_author_id,scopus_indexed_name,scopus_affiliation_name,match_status,match_score,query_used,error_message
ANETE SOARES CAVALCANTI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JAQUELINE BIANQUE DE OLIVEIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
IVONEIDE DE CARVALHO LOPES BARROS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
RAFAEL ALVES DE OLIVEIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANGELA FERNANDES CAMPOS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
GERALDO JORGE BARBOSA DE MOURA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
RUTH DO NASCIMENTO FIRME,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ERIKA SURUAGY ASSIS DE FIGUEIREDO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
AILTON REIS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANTONIO JOSE FERREIRA GOMES JUNIOR,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MANOEL ADRIAO GOMES FILHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MOHAMMAD REZA DOUSTI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
WELITON SOARES MARTINS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
GALBA MARIA DE CAMPOS TAKAKI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARCOS CESAR SANTOS ORIA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
EDENIA MARIA RIBEIRO DO AMARAL,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
REGINALDO DE CARVALHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOAO RUFINO DE FREITAS FILHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JACQUELINE SANTOS SILVA CAVALCANTI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOAO ROBERTO RATIS TENORIO DA SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
PAULA BRAGA GOMES DE PEREZ,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA DANIELLE ARAUJO MOTA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANDRE DA SILVA XAVIER,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
THIAGO YUKIO TANAKA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
KLEBER NAPOLEAO NUNES DE OLIVEIRA BARROS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA TEREZA CARTAXO MUNIZ,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARTINE PATRICIA ARLETTE CHEVROLLIER,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
IRAN FERREIRA DE MELO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
LARISSA ARAUJO ROLIM,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
BRENDA CARLOS DE ANDRADE,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
VERONICA TAVARES SANTOS BATINGA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ELCIDA DE LIMA ARAUJO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOSE NUNES DA SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
LAETICIA MEDEIROS JALIL,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
CIBELE CARDOSO DE CASTRO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
VALERIA SEVERINA GOMES,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANA LUCIA FIGUEIREDO PORTO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOSE TEMISTOCLES FERREIRA JUNIOR,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA TERESA AURELIANO BURIL VITAL RODRIGUES,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
FLAVIA CHRISTIANE GUINHOS DE MENEZES BARRETO SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOSE HOLANDA DA SILVA JUNIOR,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARCELA MOURA TORRES PAIM,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JACKSON ROBERTO GUEDES DA SILVA ALMEIDA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANILDO MONTEIRO CALDAS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
RENATA BARBOSA VICENTE,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MOACYR CUNHA FILHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
NICOLA SCHIEL,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANA MARIA DUBEUX GERVAIS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
GEVSON SILVA ANDRADE,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MOACIR SANTOS TINOCO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
VICENTINA MARIA RAMIRES BORBA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
LEONIE ASFORA SARUBBO GAMA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
CLAUDIA ROBERTA TAVARES SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
FABIO MARIO DA SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOSE DILSON BESERRA CAVALCANTI,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
NATAN MESSIAS DE ALMEIDA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ALBERT STEVENS REYNA OCAS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA BETANIA DE QUEIROZ ROLIM,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOAO BATISTA PEREIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
CYNTHIA XAVIER DE CARVALHO,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
DENNYS DIKSON MARCELINO DA SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
JOAO MORAIS DE SOUSA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
ANGELA VALERIA ALVES DE LIMA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
DAYSE AMANCIO DOS SANTOS VERAS FREITAS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
IEDO DE OLIVEIRA PAES,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA HELENA TAVARES DE MATOS,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
IVANDA MARIA MARTINS SILVA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
MARIA DO SOCORRO DE LIMA OLIVEIRA,,,,,,,api_error,,,"Erro na API Elsevier (401) em https://api.elsevier.com/content/search/author: {""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
